task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1556	f7/3ef0f5	13158725	ame_run_shuffle (567)	CACHED	0	2021-09-14 15:27:10.704	1m 5s	32.1s	73.6%	15 MB	340.9 MB	1.6 MB	3.6 MB
1561	36/47b2db	13158779	ame_run_shuffle (619)	CACHED	0	2021-09-14 15:27:40.648	1m 5s	37.5s	77.0%	17.2 MB	340.8 MB	1.5 MB	1.9 MB
1488	e6/7964c1	13158724	ame_run_shuffle (565)	CACHED	0	2021-09-14 15:27:10.692	54.9s	22s	69.3%	14 MB	340.8 MB	1.1 MB	2.7 MB
1487	37/87e1da	13158717	ame_run_shuffle (559)	CACHED	0	2021-09-14 15:27:05.859	59.8s	28.9s	71.8%	14.8 MB	340.9 MB	1.5 MB	5 MB
1489	18/dc6957	13158723	ame_run_shuffle (566)	CACHED	0	2021-09-14 15:27:10.679	54.9s	21.8s	69.1%	14.1 MB	340.9 MB	1.2 MB	1.8 MB
1493	bf/9cf625	13158736	ame_run_shuffle (577)	CACHED	0	2021-09-14 15:27:15.678	1m 25s	48.2s	78.4%	17.7 MB	340.8 MB	1.6 MB	5.9 MB
1495	0e/4ac7af	13158719	ame_run_shuffle (560)	CACHED	0	2021-09-14 15:27:10.627	30s	285ms	23.8%	0	0	637.2 KB	371.9 KB
1494	d8/f64a2b	13158746	ame_run_shuffle (582)	CACHED	0	2021-09-14 15:27:15.797	49.8s	8.2s	68.4%	12.5 MB	340.8 MB	783 KB	1.8 MB
1566	dd/7f9cde	13158808	ame_run_shuffle (645)	CACHED	0	2021-09-14 15:27:55.735	29.9s	2.4s	70.3%	11.7 MB	340.8 MB	666.4 KB	1.1 MB
1567	6b/98a45b	13158797	ame_run_shuffle (637)	CACHED	0	2021-09-14 15:27:50.689	1m 25s	59.8s	79.9%	17.9 MB	340.8 MB	1.6 MB	4 MB
1497	5c/e90d2e	13158722	ame_run_shuffle (564)	CACHED	0	2021-09-14 15:27:10.667	35s	3.3s	65.6%	12.2 MB	340.8 MB	804.5 KB	1.5 MB
